N°;COMUNA;NOMBRE COMUNA;NOMBRE DE LA ORGANIZACIÓN;TIPO DE ORGANIZACIÓN;DANE ESTABLECIDO;TELÉFONO DE LA ORGANIZACIÓN;CORREO ELECTRÓNICO DE LA ORGANIZACIÓN;DIRECCIÓN FÍSICA DE LA ORGANIZACIÓN;NOMBRE DEL REPRESENTANTE LEGAL DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;NOMBRE DEL ENLACE DENTRO DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;CORREO ELECTRÓNICO;VALIDACION/SOCIALIZACION;FECHA ÚLTIMA ACTUALIZACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;5;CASTILLA;SEC ESC TOSCANA;IE ;105001025780;2730920;ie.pantoniojbernal@medellin.gov.co;CL 111G  64A 16;HERNAN DARIO DIAZ BENJUMEA;RECTOR;2730920;HERNAN DARIO DIAZ BENJUMEA;RECTOR;2730920;ie.pantoniojbernal@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;5;CASTILLA;INST EDUC COLEGIO LOYOLA PARA LA CIENCIA Y LA INNOVACIÓN;IE ;105001025984;4405100;ie.loyola@medellin.gov.co;CR 65 98 A 75;LUZ STELLA VALLEJO CARDONA;RECTOR;4405105;LUZ STELLA VALLEJO CARDONA;RECTOR;4405105;ie.loyola@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;5;CASTILLA;INST EDUC JESUS MARIA EL ROSAL;IE ;105001000841;3207380;secretarialjm@gmail.com;CR 72 95 20;GLORIA ESTELA RUIZ TOBON;RECTOR;3207380;GLORIA ESTELA RUIZ TOBON;RECTOR;3207380;secretarialjm@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;5;CASTILLA;INST EDUC MARIA MONTESSORI;IE ;105001003280;4712416/4776510;ie.mariamontessori@medellin.gov.co;CR 69 A 92 C 87;HERNAN DARIO QUINTANA VALDES;RECTOR;4712416/4776510;HERNAN DARIO QUINTANA VALDES;RECTOR;4712416/4776510;ie.mariamontessori@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;5;CASTILLA;SEC ESC LA UNION;IE ;105001003280;4713818;ie.mariamontessori@medellin.gov.co;CR 67 93 75;HERNAN DARIO QUINTANA VALDES;RECTOR;4713818;HERNAN DARIO QUINTANA VALDES;RECTOR;4713818;ie.mariamontessori@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;5;CASTILLA;INST EDUC REPUBLICA DE URUGUAY;IE ;105001005495;2574945;iuruguay@epm.net.co;CL 91 A 70 A 123;SIMON ENRIQUE IBARGUEN PALACIOS;RECTOR;2574945;SIMON ENRIQUE IBARGUEN PALACIOS;RECTOR;2574945;iuruguay@epm.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;5;CASTILLA;INST EDUC DINAMARCA;IE ;105001006068;2573923;idinamar@epm.net.co;CL 91 65 119;RAMIRO DE JESUS VALENCIA PATIÑO;RECTOR;2573923;RAMIRO DE JESUS VALENCIA PATIÑO;RECTOR;2573923;idinamar@epm.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;5;CASTILLA;SEC ESC RICARDO URIBE ESCOBAR;IE ;105001006068;2570276;idinamar@epm.net.co;CR 64 B 75 A 49;RAMIRO DE JESUS VALENCIA PATIÑO;RECTOR;2570276;RAMIRO DE JESUS VALENCIA PATIÑO;RECTOR;2570276;idinamar@epm.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;5;CASTILLA;INST EDUC PEDRO CLAVER AGUIRRE;IE ;105001007439;2372482;atencionpublicoiepca@gmail.com;CR 67 95 118;IBSEN ANTONIO COSSIO PEREA;RECTOR;2372482;IBSEN ANTONIO COSSIO PEREA;RECTOR;2372482;atencionpublicoiepca@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;5;CASTILLA;INST EDUC TRICENTENARIO;IE ;105001016420;4713883;ie.tricentenario2012@gmail.com;CR 63 A 94 A 629;DIEGO MAURICIO OSORIO  ;RECTOR;4713883;DIEGO MAURICIO OSORIO  ;RECTOR;4713883;ie.tricentenario2012@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;5;CASTILLA;SEC ESC TRICENTENARIO;IE ;105001016420;2671734;ie.tricentenario2012@gmail.com;CR 63A    94A-23;DIEGO MAURICIO OSORIO  ;RECTOR;2671734;DIEGO MAURICIO OSORIO  ;RECTOR;2671734;ie.tricentenario2012@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;5;CASTILLA;INST EDUC MANUEL JOSE GOMEZ SERNA;IE ;105001017965;4715574 - 4720775;ie.manueljosegomez@medellin.gov.co;CR 71  97  101;ZOCIMO RAMOS RIVAS;RECTOR;4715574 - 4720775;ZOCIMO RAMOS RIVAS;RECTOR;4715574 - 4720775;ie.manueljosegomez@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;5;CASTILLA;SEC ESC ALEJO PIMIENTA;IE ;105001017965;2371508;ie.manueljosegomez@medellin.gov.co;CL 96 N° 70 - 43 ;ZOCIMO RAMOS RIVAS;RECTOR;2371508;ZOCIMO RAMOS RIVAS;RECTOR;2371508;ie.manueljosegomez@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;5;CASTILLA;INST EDUC ALFONSO LOPEZ;IE ;105001019798;2574197;iealfonsolopez00@hotmail.com;CR 71 C 89 A 50;KAROL COSSIO CORREA;RECTOR;2574197;KAROL COSSIO CORREA;RECTOR;2574197;iealfonsolopez00@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;5;CASTILLA;SEC ESC MUNICIPAL KENNEDY;IE ;105001019798;2575852;iealfonsolopez00@hotmail.com;CL 89A    72-50;KAROL COSSIO CORREA;RECTOR;2575852;KAROL COSSIO CORREA;RECTOR;2575852;iealfonsolopez00@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;5;CASTILLA;SEC ESC CARDENAL CRISANTO LUQUE;IE ;105001019798;2574197;iealfonsolopez00@hotmail.com;CR 71C N 89A51;KAROL COSSIO CORREA;RECTOR;2574197;KAROL COSSIO CORREA;RECTOR;2574197;iealfonsolopez00@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;5;CASTILLA;INST EDUC MAESTRO ARENAS BETANCUR;IE ;305001015686;4719328;secretaria@iemab.edu.co;CL 98A 65-120;MARCO ANTONIO ORTIZ LOESTE;RECTOR;4719328;MARCO ANTONIO ORTIZ LOESTE;RECTOR;4719328;secretaria@iemab.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;5;CASTILLA;SEC ESC IMPERIO DEL JAPON;IE ;305001015686;2677287;secretaria@iemab.edu.co;CL 101  65 125;MARCO ANTONIO ORTIZ LOESTE;RECTOR;2677287;MARCO ANTONIO ORTIZ LOESTE;RECTOR;2677287;secretaria@iemab.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;5;CASTILLA;SEC ESC MUNICIPAL CASTILLA;IE ;305001015686;2676475;secretaria@iemab.edu.co;CL 100A  66-54;MARCO ANTONIO ORTIZ LOESTE;RECTOR;2676475;MARCO ANTONIO ORTIZ LOESTE;RECTOR;2676475;secretaria@iemab.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;5;CASTILLA;SEC ESC ESTADO DE ISRAEL;IE ;105001012092;2732809;Sin registro;CL 110 A 75 A 1;HERNAN DARIO NANCLARES NANCLARES;RECTOR;4719980/4720572;HERNAN DARIO NANCLARES NANCLARES;RECTOR;4719980/4720572;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;6;DOCE DE OCTUBRE;INST EDUC ALFREDO COCK ARANGO;IE ;105001000795;2671190/2677552;ie.alfredocock@medellin.gov;CR 72 99 55;RENÉ ALEJANDRO LONDOÑO CANO;RECTOR;2671190/2677552;RENÉ ALEJANDRO LONDOÑO CANO;RECTOR;2671190/2677552;ie.alfredocock@medellin.gov;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;6;DOCE DE OCTUBRE;INST EDUC JUVENIL NUEVO FUTURO;IE ;105001007889;2673506;ie.juvenilnuevofutur@medellin.gov.co;CL 104CC #80-03;SANDRA ELISA ARANGO MAYA;RECTOR;2673506;SANDRA ELISA ARANGO MAYA;RECTOR;2673506;ie.juvenilnuevofutur@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;6;DOCE DE OCTUBRE;INST EDUC MAESTRO FERNANDO BOTERO;IE ;105001010111;237 12 35;rectoria@iemfbotero.edu.co;CL 104 72 A 80;CARLOS VIDAL TOBON BETANCUR;RECTOR;237 12 35;CARLOS VIDAL TOBON BETANCUR;RECTOR;237 12 35;rectoria@iemfbotero.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;6;DOCE DE OCTUBRE;SEC ESC EL PEDREGAL;IE ;105001010111;4761516;rectoria@iemfbotero.edu.co;CL 104 E 74 109;CARLOS VIDAL TOBON BETANCUR;RECTOR;4761516;CARLOS VIDAL TOBON BETANCUR;RECTOR;4761516;rectoria@iemfbotero.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;6;DOCE DE OCTUBRE;INST EDUC LA ESPERANZA;IE ;105001010448;2375615 ext 101-102-103;ie.laesperanza@medellin.gov.co;CR 73 B 96 09 ;MARCOS VILLARREAL ARRIETA;RECTOR;2375615 ext 101-102-103;MARCOS VILLARREAL ARRIETA;RECTOR;2375615 ext 101-102-103;ie.laesperanza@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;6;DOCE DE OCTUBRE;SEC ESC REPUBLICA DE CUBA;IE ;105001010448;2374541;ie.laesperanza@medellin.gov.co;CL 97 74 03;MARCOS VILLARREAL ARRIETA;RECTOR;2374541;MARCOS VILLARREAL ARRIETA;RECTOR;2374541;ie.laesperanza@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;6;DOCE DE OCTUBRE;SEC ESC SAN FRANCISCO DE PAULA;IE ;105001010448;2370213;ie.laesperanza@medellin.gov.co;CR 74 B 93 58;MARCOS VILLARREAL ARRIETA;RECTOR;2370213;MARCOS VILLARREAL ARRIETA;RECTOR;2370213;ie.laesperanza@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;6;DOCE DE OCTUBRE;SEC ESC LOS COMUNEROS;IE ;105001010448;2379548;ie.laesperanza@medellin.gov.co;CR 73 B 96 77;MARCOS VILLARREAL ARRIETA;RECTOR;2379548;MARCOS VILLARREAL ARRIETA;RECTOR;2379548;ie.laesperanza@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;6;DOCE DE OCTUBRE;SEC ESC SAN MARTIN DE PORRES;IE ;105001010448;2378059;ie.laesperanza@medellin.gov.co;CR 75 A 97 135;MARCOS VILLARREAL ARRIETA;RECTOR;2378059;MARCOS VILLARREAL ARRIETA;RECTOR;2378059;ie.laesperanza@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;6;DOCE DE OCTUBRE;INST EDUC CIUDADELA LAS AMERICAS;IE ;105001011088;2730061/2730161/2738598;iamerica1@epm.net.co;CL 111 79 77;BEATRIZ STELLA BOJACA ORREGO;RECTOR;2730061/2730161/2738598;BEATRIZ STELLA BOJACA ORREGO;RECTOR;2730061/2730161/2738598;iamerica1@epm.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;6;DOCE DE OCTUBRE;INST EDUC DOCE DE OCTUBRE;IE ;105001011363;"4715975-4777998
4718894-4381467";liceo12@une.net.co;CR 77 B 103 05;ANGELA MARIA CHAVERRA SIERRA;RECTOR;"4715975-4777998
4718894-4381467";ANGELA MARIA CHAVERRA SIERRA;RECTOR;"4715975-4777998
4718894-4381467";liceo12@une.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;6;DOCE DE OCTUBRE;SEC ESC LEON DE GREIFF;IE ;105001011363;4717026--2671544;liceo12@une.net.co;CL 101 CC 82 E 72;ANGELA MARIA CHAVERRA SIERRA;RECTOR;4717026--2671544;ANGELA MARIA CHAVERRA SIERRA;RECTOR;4717026--2671544;liceo12@une.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;6;DOCE DE OCTUBRE;INST EDUC BARRIO SANTANDER;IE ;105001012092;4720572-4719980;Sin registro;CR 78 C 104 F 78;HERNAN DARIO NANCLARES NANCLARES;RECTOR;4720572-4719980;HERNAN DARIO NANCLARES NANCLARES;RECTOR;4720572-4719980;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;6;DOCE DE OCTUBRE;INST EDUC EL PICACHITO;IE ;105001013013;4761277/4722556;ie.picachito@gmail.com;CR 85 A 98 B 17;LUIS OSVALDO GIRALDO GARCÍA;RECTOR;4761277/4722556;LUIS OSVALDO GIRALDO GARCÍA;RECTOR;4761277/4722556;ie.picachito@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;6;DOCE DE OCTUBRE;INST EDUC JORGE ELIECER GAITAN;IE ;105001019143;2578292;coordinacionjmiejeg@gmail.com;CL 92 83 41;JAIRO HERNAN ORTIZ MURILLO ;RECTOR;2578292;JAIRO HERNAN ORTIZ MURILLO ;RECTOR;2578292;coordinacionjmiejeg@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;6;DOCE DE OCTUBRE;INST EDUC EL PEDREGAL;IE ;105001019194;4783320;iepedregal@gmail.com;CL 102 74 A 47;EDWIN FERNEY MONTOYA VELASQUEZ;RECTOR;4783320;EDWIN FERNEY MONTOYA VELASQUEZ;RECTOR;4783320;iepedregal@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;6;DOCE DE OCTUBRE;SEC ESC RAFAEL J. MEJIA;IE ;105001019194;2672681;iepedregal@gmail.com;CL 102    74A-109;EDWIN FERNEY MONTOYA VELASQUEZ;RECTOR;2672681;EDWIN FERNEY MONTOYA VELASQUEZ;RECTOR;2672681;iepedregal@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;6;DOCE DE OCTUBRE;INST EDUC KENNEDY;IE ;105001021636;4428362;i.e.kennedy921@gmail.com;CR 76A # 92 - 200;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;4428362;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;4428362;i.e.kennedy921@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;6;DOCE DE OCTUBRE;SEC CONCENTRACION EDUCATIVA KENNEDY;IE ;105001021636;2574139;i.e.kennedy921@gmail.com;CR 76 92 139;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;2574139;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;2574139;i.e.kennedy921@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;6;DOCE DE OCTUBRE;SEC ESC CAROLINA KENNEDY;IE ;105001021636;2573224;i.e.kennedy921@gmail.com;CR 76A    90-18;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;2573224;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;2573224;i.e.kennedy921@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;6;DOCE DE OCTUBRE;SEC ESC EL PICACHO;IE ;105001021636;4715003;i.e.kennedy921@gmail.com;CR 83 95 B 40;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;4715003;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;4715003;i.e.kennedy921@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;6;DOCE DE OCTUBRE;SEC ESC MINERVA;IE ;105001021636;2576764;i.e.kennedy921@gmail.com;CL 94 79 A 40;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;2576764;JUAN GUILLERMO BASTIDAS MENESES;RECTOR;2576764;i.e.kennedy921@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;6;DOCE DE OCTUBRE;INST EDUC CASD;IE ;105001024073;4721313/4722657;ie.casdmedellin@gmail.com;CL 99 72 192;BEATRIZ ELENA LOPEZ RODRIGUEZ;RECTOR;4721313/4722657;BEATRIZ ELENA LOPEZ RODRIGUEZ;RECTOR;4721313/4722657;ie.casdmedellin@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;6;DOCE DE OCTUBRE;SEC ESC CONTRANAL;IE ;105001024073;2379168;ie.casdmedellin@gmail.com;CL 100 74 A 25;BEATRIZ ELENA LOPEZ RODRIGUEZ;RECTOR;2379168;BEATRIZ ELENA LOPEZ RODRIGUEZ;RECTOR;2379168;ie.casdmedellin@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;6;DOCE DE OCTUBRE;INST EDUC JESUS MARIA VALLE;IE ;105001026361;4771397;jmariavalle@sinfronteras.edu.co;CL 101 83 21;HECTOR JULIAN ALZATE PARRA;RECTOR;4771397;HECTOR JULIAN ALZATE PARRA;RECTOR;4771397;jmariavalle@sinfronteras.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;6;DOCE DE OCTUBRE;INST EDUC SANTA JUANA DE LESTONAC;IE ;305001007594;4711144;Sin registro;CR 76 A 103 C 43;DIANA LUCIA GAVIRIA BOLAÑOS;RECTOR;4711144;HNA DIANA LUCIA GAVIRIA BOLAÑOS;RECTOR;4711144;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;6;DOCE DE OCTUBRE;INST EDUC EL TRIUNFO SANTA TERESA;IE ;305001016542;4715017/4770292 ;Sin registro;CL 104 D 82 GG 20;MIGUEL ALBEIRO ZAPATA CORDOBA;RECTOR;4770292;MIGUEL ALBEIRO ZAPATA CORDOBA;RECTOR;4715017/4770292 ;ie.santateresa@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;6;DOCE DE OCTUBRE;SEC ESC EL TRIUNFO;IE ;305001016542;4776954;Sin registro;CL 103 A 86 35;MIGUEL ALBEIRO ZAPATA CORDOBA;RECTOR;4770292;MIGUEL ALBEIRO ZAPATA CORDOBA;SIN INFORMACION;4776954;ie.santateresa@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;6;DOCE DE OCTUBRE;INST EDUC PROGRESAR;IE ;105001026701;4760875- 4232721;Sin registro;CR 83A    106D 5;CONNY HELEN BARTH LEON;RECTOR;4760875 4232701;CONNY HELEN BARTH LEON;RECTOR;4760875- 4232721;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;6;DOCE DE OCTUBRE;CENT EDUC JESUS AMIGO;IE ;305001018421;4776196 - 6040550;Sin registro;CL 99    82-07;SILVIA MARIA TORRES CANO;RECTOR;2673204;SILVIA MARIA TORRES CANO;RECTOR;4776196 - 6040550;ie.jesusamigo@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;6;DOCE DE OCTUBRE;CENTRO EDUCATIVO HOGAR JESÚS REDENTOR;IE ;305001024236;"4744470 
 4714266";Sin registro;CL 104 B 87 95;HNA YEIMI ANDREA YOPASA DAZA;RECTOR;4744470;HNA YEIMI ANDREA YOPASA DAZA;RECTOR;"4744470 
 4714266";Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;7;ROBLEDO;INST EDUC AURES;IE ;105001001198;2640826;Sin registro;CR 96A  77E 15 INT 102;PATRICIA ELENA SALAZAR SALAZAR;RECTOR;2640826;PATRICIA ELENA SALAZAR SALAZAR;RECTOR;2640826;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;7;ROBLEDO;SEC ESC AURES;IE ;105001026735;2640826;Sin registro;CR 93 A 77 F 57;PATRICIA ELENA SALAZAR SALAZAR;RECTOR;2640826;PATRICIA ELENA SALAZAR SALAZAR;RECTOR;2640826;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;7;ROBLEDO;INST EDUC SAN VICENTE DE PAUL;IE ;105001002470;4423737 - 2576243;Sin registro;CR 71A N° 79D-01;YOLANDA LOZANO BARBOSA;RECTOR;4423737 - 2576243;YOLANDA LOZANO BARBOSA;RECTOR;4423737 - 2576243;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;7;ROBLEDO;SEC ESC ALFREDO COCK ARANGO;IE ;105001000761;2571207;Sin registro;CR 70    79A-43;YOLANDA LOZANO BARBOSA;RECTOR;4423737 - 2576243;YOLANDA LOZANO BARBOSA;RECTOR;2571207;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;7;ROBLEDO;INST EDUC EL DIAMANTE;IE ;105001800112;4416168;Sin registro;KR 87 79 03;NANCY LUCIA PEREZ;RECTOR;4416168;NANCY LUCIA PEREZ GONZALEZ;RECTOR;4416168;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;7;ROBLEDO;SEC ESC EL DIAMANTE;IE ;105001800112;4416168;Sin registro;CL 79 A 86 09;NANCY LUCIA PEREZ;RECTOR;4416168;NANCY LUCIA PEREZ GONZALEZ;RECTOR;4416168;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;7;ROBLEDO;INST EDUC BELLO HORIZONTE;IE ;105001008249;2346584;Sin registro;CR 86 77AB  53;LIGIA OFELIA VASQUEZ ROLDAN;RECTOR;2346584;LIGIA OFELIA VASQUEZ ROLDAN;RECTOR;2346584;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;7;ROBLEDO;INST EDUC FE Y ALEGRIA AURES;IE ;105001011461;2575489;Sin registro;CR 95 89 73;NELSON GONZALEZ ARIAS;RECTOR;2575489;NELSON GONZALEZ ARIAS;RECTOR;2575489;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;7;ROBLEDO;INST EDUC LUIS LOPEZ DE MESA;IE ;105001014397;4417456;Sin registro;CL 84 74 60;EDITH STELLA DEL PILAR LOPEZ VARGAS;RECTOR;4417456;EDITH STELLA DEL PILAR LOPEZ VARGAS;RECTOR;4417456;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;7;ROBLEDO;INST EDUC JESUS REY;IE ;105001014851;4218309/4219747;Sin registro;CR 88 77 A 11;NANCY ADRIANA HERRERA LOPEZ;RECTOR;4218309-4219747;NANCY ADRIANA HERRERA LOPEZ;RECTOR;4218309/4219747;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;7;ROBLEDO;INST EDUC FE Y ALEGRIA SAN JOSE;IE ;105001017132;4421584;Sin registro;CL 86 92 60;ANA DELIA CARDENAS GUARIN;RECTOR;4414908;ANA DELIA CARDENAS GUARIN;RECTOR;4421584;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;7;ROBLEDO;INST EDUC CIUDAD DON BOSCO;IE ;105001020273;2642122;Sin registro;CR 96 B 78 C 11;DIEGO ALEXANDER GIRALDO DURANGO;RECTOR;5408180 Extensiones: 104 Secretaría Académica 106;DIEGO ALEXANDER GIRALDO DURANGO;RECTOR;5408180 Extensiones: 104 Secretaría Académica 106;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;7;ROBLEDO;INST EDUC MONSEÑOR GERARDO VALENCIA CANO;IE ;105001001791;2300313;Sin registro;CL 65 74 B 273;LUZ ANGELA PUERTA GOMEZ;RECTOR;2300313;LUZ ANGELA PUERTA GOMEZ;RECTOR;2300313;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;7;ROBLEDO;SEC ESC LA PORTADA;IE ;105001021075;2570719;Sin registro;CL 80C  88A 37;LUZ ANGELA PUERTA GOMEZ;RECTOR;2570719;LUZ ANGELA PUERTA GOMEZ;RECTOR;2570719;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;7;ROBLEDO;INST EDUC MARISCAL ROBLEDO;IE ;105001002305;2340009;Sin registro;CL 65 84 87;JUAN GUILLERMO ZAPATA JARAMILLO;RECTOR;2340009;JUAN GUILLERMO ZAPATA JARAMILLO;RECTOR;2340009;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;7;ROBLEDO;SEC ESC CONRADO GONZÁLEZ MEJÍA;IE ;105001026557;4216483;Sin registro;CL 76 80 496;JUAN GUILLERMO ZAPATA JARAMILLO;RECTOR;2340009;JUAN GUILLERMO ZAPATA JARAMILLO;RECTOR;4216483;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;7;ROBLEDO;INS TEC INDUSTRIAL PASCUAL BRAVO;IE ;105001003441;4223700;Sin registro;CL 73    73A-227;JOHN ARIEL AGUDELO ECHEVERRI;RECTOR;4223700 - 4401830;JOHN ARIEL AGUDELO ECHEVERRI ;RECTOR;4223700;ie.pascualbravo@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;7;ROBLEDO;INST EDUC JORGE ROBLEDO;IE ;105001006246;4218450;Sin registro;CL 65 87 74;IVAN DARIO ZULUGA ZULUAGA;RECTOR;4218450;IVAN DARIO ZULUAGA ZULUAGA;RECTOR;4218450;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;7;ROBLEDO;INST EDUC TOMAS CARRASQUILLA NO. 2;IE ;105001011011;2641122;Sin registro;CR 88 68 109;IVÁN DARÍO ESCOBAR GONZÁLEZ;RECTOR;2641122;IVÁN DARÍO ESCOBAR GONZÁLEZ;RECTOR;2641122;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;7;ROBLEDO;INST EDUC VILLA DE LA CANDELARIA;IE ;105001011711;2642310;Sin registro;CL 77 A 90 D 35;RICARDO DE JESUS ECHEVERRI TOBON;RECTOR;2642310;RICARDO DE JESUS ECHEVERRI TOBON;RECTOR;2642310;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
